POSTALCODE,ONS_ID,pct_intersect
K1B1A3,904,1
K1B4X1,904,1
K1B5P9,904,1
K1C3E2,915,1
K1C3E4,915,1
K1C4R7,915,1
K1C4S1,915,1
K1C4S3,915,1
K1C4S5,915,1
K1C4S7,915,1
K1C4T1,915,1
K1C4Z8,939,1
K1C6E4,939,1
K1C6S8,913,1
K1C6S9,913,1
K1C6T2,913,1
K1C6T4,913,1
K1C6T5,913,1
K1C6T6,913,1
K1C7A6,939,1
K1C7H4,939,1
K1C7H8,915,1
K1C7K2,77,1
K1E3W4,943,1
K1E3Y3,943,1
K1G3H6,917,1
K1G3H8,917,1
K1G3J1,917,1
K1G3T8,917,1
K1G3T9,917,1
K1G3V1,917,1
K1G3V2,917,1
K1G4V6,50,1
K1G4V8,50,1
K1G4W1,50,1
K1G4W2,50,1
K1G4W3,50,1
K1G5B5,50,1
K1G5B8,50,1
K1G5B9,50,1
K1G5C1,50,1
K1G5C2,50,1
K1G5K9,919,1
K1G5R1,50,1
K1G5R5,50,1
K1G5T7,947,1
K1G6B7,940,1
K1H1A1,903,1
K1J0C5,912,1
K1J8M0,93,1
K1J9G9,926,1
K1J9L9,93,1
K1J9M7,93,1
K1K0A1,956,1
K1K0K9,956,1
K1K0P1,956,1
K1K0P2,956,1
K1K0R8,935,1
K1K1V1,912,1
K1K2C4,940,1
K1K2E1,956,1
K1K2N0,935,1
K1K2T8,935,1
K1K2V6,935,1
K1K3X5,935,1
K1K4E3,912,1
K1K4G6,940,1
K1K4J3,935,1
K1K4J4,935,1
K1K4K4,935,1
K1K4K6,935,1
K1K4L8,940,1
K1K4P3,912,1
K1L1A1,954,1
K1L5C4,953,1
K1L6N9,954,1
K1L8C4,940,1
K1L8E4,953,1
K1L8E7,940,1
K1M0E7,948,1
K1M0E8,948,1
K1M0E9,948,1
K1M0G1,948,1
K1M0S8,948,1
K1M2H9,933,1
K1N1A3,949,1
K1N1C5,949,1
K1N1C9,949,1
K1N5K8,934,1
K1N6A9,949,1
K1N6V1,949,1
K1N6V3,949,1
K1N7R6,949,1
K1N8V3,949,1
K1N8V4,949,1
K1N8V5,949,1
K1N9A6,949,1
K1N9A7,949,1
K1N9H1,949,1
K1N9H8,934,1
K1N9N5,949,1
K1N9P4,949,1
K1P1A1,24,1
K1P1B1,24,1
K1P5A0,24,1
K1P5P6,24,1
K1P5P7,24,1
K1P5P9,24,1
K1P5R1,24,1
K1P5R2,24,1
K1P5W4,24,1
K1P6C3,24,1
K1P6C4,24,1
K1R0A4,24,1
K1R1A1,957,1
K1R5E6,24,1
K1R5E9,24,1
K1R7E2,957,1
K1R7E3,957,1
K1R7E4,957,1
K1R7H9,957,1
K1R7S9,24,1
K1R7Z1,24,1
K1S1C1,82,1
K1S5B3,923,1
K1S5B4,923,1
K1S5H8,923,1
K1S5H9,923,1
K1S5J1,923,1
K1S5N1,83,1
K1S5N2,83,1
K1S5P5,923,1
K1S5W3,923,1
K1S5W8,82,1
K1T0S8,918,1
K1T2V8,45,1
K1T2V9,45,1
K1T2W2,45,1
K1T2W3,45,1
K1T2W5,45,1
K1T2W6,45,1
K1T2Y2,45,1
K1T2Y3,45,1
K1T2Y6,45,1
K1T2Z1,45,1
K1T2Z2,45,1
K1T2Z4,45,1
K1T2Z5,45,1
K1T3A1,45,1
K1T3A2,45,1
K1T3A3,45,1
K1T3A4,45,1
K1T3A5,45,1
K1T3H5,52,1
K1T3H6,52,1
K1T3H8,52,1
K1T3H9,52,1
K1T3J1,45,1
K1T3J3,45,1
K1T3J5,45,1
K1T3J7,45,1
K1T3N3,45,1
K1T3N4,45,1
K1T3S9,926,1
K1V0K6,927,1
K1V0K7,927,1
K1V0M6,49,1
K1V0M8,927,1
K1V0T9,49,1
K1V0V1,49,1
K1V0V3,49,1
K1V0V4,49,1
K1V0W0,49,1
K1V0W1,932,1
K1V0W2,932,1
K1V0W8,38,1
K1V1A8,38,1
K1V1C5,48,1
K1V1J8,48,1
K1V2T8,932,1
K1V6A4,932,1
K1V7P6,932,1
K1V9M9,49,1
K1V9N1,49,1
K1V9N6,49,1
K1V9N8,49,1
K1V9V5,49,1
K1Y1E6,47,1
K1Y2M5,47,1
K1Y2Z2,47,1
K1Y3K3,47,1
K1Y4J1,47,1
K1Y4S3,47,1
K1Y4S8,47,1
K1Y4V3,47,1
K1Z1A2,28,1
K1Z1A4,958,1
K1Z1A5,958,1
K1Z1A7,958,1
K1Z1E7,958,1
K1Z1E8,958,1
K1Z6V9,958,1
K1Z7L0,28,1
K2A1T4,28,1
K2A2G6,958,1
K2A4B5,910,1
K2A4B6,910,1
K2A4B7,910,1
K2A4B8,910,1
K2A4B9,910,1
K2A4E2,931,1
K2A4E4,958,1
K2A4G7,910,1
K2B7G8,901,1
K2B7T1,901,1
K2B8M3,106,1
K2B8N6,106,1
K2B8R3,906,1
K2B8R6,906,1
K2B8R7,906,1
K2B8R8,906,1
K2C3J1,950,1
K2C3M1,950,1
K2C3S8,950,1
K2C3Y7,16,1
K2C3Y9,31,1
K2E1B1,950,1
K2E6J9,941,1
K2G1H1,31,1
K2G2Z4,31,1
K2G4R2,905,1
K2G5X7,23,1
K2G5Y3,31,1
K2H1A3,926,1
K2H1H1,12,1
K2H7T7,6,1
K2H7T8,6,1
K2H7T9,6,1
K2H9H3,88,1
K2H9H4,88,1
K2H9H6,88,1
K2H9H7,88,1
K2H9H8,88,1
K2H9R6,6,1
K2J4X6,952,1
K2J6N6,952,1
K2J6N9,952,1
K2J6P2,952,1
K2J6R5,952,1
K2K1X6,911,1
K2K2P4,907,1
K2L2Y5,924,1
K2L2Z3,924,1
K2L3L8,929,1
K2L3M1,929,1
K2L3M2,929,1
K2L3M3,929,1
K2L3M4,929,1
K2L3M6,929,1
K2M2C3,924,1
K2P0V7,24,1
K2P0W1,24,1
K2P2C5,24,1
K2P2L9,24,1
K2P2M3,24,1
K2S1A2,951,1
K2S1A3,951,1
K2S1A5,951,1
K2S1A6,951,1
K2S1A7,951,1
K2S1A8,951,1
K2S1A9,951,1
K2S1B1,951,1
K2S1B2,951,1
K2S1B3,951,1
K2S1B4,951,1
K2S1B5,951,1
K2S1C2,951,1
K2S2R5,951,1
K2T0A3,928,1
K2T0P2,928,1
K2T1C5,928,1
K2V0N6,951,1
K2V0N8,951,1
K2V0N9,951,1
K2V0R2,951,1
K2V0R3,951,1
K2V0R4,915,1
K2V0R7,951,1
K4A0C4,909,1
K4A0N6,942,1
K4A2H3,920,1
K4A2H5,920,1
K4A2K2,920,1
K4A3W4,942,1
K4A5L5,909,1
K4B1J2,936,1
K4B1J3,936,1
K4B1J4,936,1
K4B1J5,936,1
K4C1B2,918,1
K4C1B3,918,1
K4C1E5,916,1
K4C1E6,916,1
K4C1E7,916,1
K4M1A1,64,1
K4M1A2,64,1
K4M1A3,64,1
K4M1A4,64,1
K4M1A6,64,1
K4M1A7,64,1
K4M1A8,64,1
K4M1A9,64,1
K4M1B0,64,1
K4M1B1,64,1
K4P1N4,925,1
K4P1N5,925,1
K4P1N6,925,1
K7A4T4,NA,1
K7A4W6,NA,1
K7S3H2,NA,1
K7S3L9,NA,1
